0	7119
1	7191
2	7152
3	7096
4	7050
5	7124
6	7394
7	7791
8	8361
9	8712
10	8853
11	8763
12	8465
13	8069
14	7541
15	7236
16	7084
17	7072
18	7147
19	7195
20	7171
21	7107
22	7079
23	7129
24	7308
25	7696
26	8108
27	8498
28	8776
29	8728
30	8408
31	8078
32	7594
33	7261
34	7095
35	7060
36	7134
37	7157
38	7157
39	7097
40	7033
41	7096
42	7323
43	7667
44	8139
45	8517
46	8709
47	8749
48	8444
49	8037
50	7594
51	7251
52	7123
53	7080
54	7145
55	7221
56	7201
57	7134
58	7059
59	7130
60	7365
61	7744
62	8205
63	8614
64	8804
65	8767
66	8475
67	8032
68	7544
69	7245
70	7075
71	7106
72	7127
